,0
10cc,"10cc is an English rock band formed in Stockport, Greater Manchester in 1972. It initially consisted of four musicians – Graham Gouldman, Eric Stewart, Kevin Godley and Lol Creme – who had written and recorded together since 1968. The group featured two songwriting teams. Stewart and Gouldman were predominantly pop songwriters, who created most of the band's accessible songs. By contrast, Godley a"
1910FruitgumCompany,"The 1910 Fruitgum Company is an American bubblegum pop band of the 1960s.  The group's Billboard Hot 100 hits were ""Simon Says"", ""May I Take a Giant Step"", ""1, 2, 3, Red Light"", ""Goody Goody Gumdrops"", ""Indian Giver"", ""Special Delivery"", and ""The Train"".


== Career ==
The band began as Jeckell and The Hydes in New Jersey in 1966.  The original  members were Frank Jeckell, Mark Gutkowski, Floyd Ma"
2Unlimited,"2 Unlimited are a Dutch dance act founded by Belgian producers Jean-Paul De Coster and Phil Wilde in 1991 in Amsterdam, Netherlands. Dutch rapper Ray Slijngaard and Dutch vocalist Anita Doth fronted the act from 1991 to 1996. During the five years of 2 Unlimited's worldwide mainstream success, the act scored a total of 16 chart hits, including ""Get Ready for This"", ""Twilight Zone"", ""No Limit"", and"
38Special,"38 Special (sometimes stylized as .38 Special) is an American rock band that was formed by neighborhood friends Don Barnes and Donnie Van Zant in 1974 in Jacksonville, Florida, United States.


== History ==


=== 1970s ===
Donnie Van Zant, the younger brother of Lynyrd Skynyrd founder Ronnie, began playing music himself during his teen years, forming the band Standard Production in 1968, which pa"
911,"Reno 911! is an American comedy television series that initially ran on Comedy Central from 2003 to 2009. It is a mockumentary-style parody of law enforcement documentary shows, specifically Cops, with comic actors playing the police officers. Thomas Lennon, Robert Ben Garant and Kerri Kenney-Silver all starred in and are billed as creators of the series.
A revival of the series premiered on May 4"
AaronNeville,"Aaron Joseph Neville (born January 24, 1941) is an American R&B and soul vocalist and musician. He has had four platinum albums and four Top 10 hits in the United States, including three that went to #1 on Billboard's Adult Contemporary chart. His debut single, from 1966, was #1 on the Soul chart for five weeks.
He has also recorded with his brothers Art, Charles and Cyril as The Neville Brothers "
Abba,"The discography of Swedish pop music group ABBA consists of eight studio albums, two live albums, seven compilation albums, three box sets, four video albums, seventy-three singles, and thirty-three music videos. This list does not include solo material performed by individual members.
ABBA's biggest hit singles worldwide are ""Dancing Queen"" and ""Fernando"", with Arrival being their biggest hit stu"
ABC,"ABC are an English pop band that formed in Sheffield in 1980. Their classic line-up consisted of lead singer Martin Fry, guitarist and keyboardist Mark White, saxophonist Stephen Singleton and drummer David Palmer.Developed from an earlier band, Vice Versa, ABC achieved ten UK and five US Top 40 hit singles between 1981 and 1990, and their 1982 debut album, The Lexicon of Love, was a UK number-one"
ACDC,"Australian rock and roll band AC/DC, between 1975 and 2014, have released 16 studio albums (14 available worldwide and two released only in Australia), two soundtrack albums, four live albums, 11 video albums, and two box set albums. Although many AC/DC singles have been released, the band always refused to release any greatest hits-type packages; Who Made Who (which served as the soundtrack to St"
Ace,"""How Long"" is a 1975 song by the British group Ace from their album Five-A-Side. It reached No. 3 in the US and Canadian charts, and No. 20 in the UK Singles Chart.Although widely interpreted as being about adultery, the song was in fact composed by lead singer Paul Carrack upon discovering that bassist Terry Comer had been secretly working with the Sutherland Brothers and Quiver. Comer returned t"
