,tonalidad,tonalidad_escala,scale_coverage,mayor_chord_coverage,minor_chord_coverage,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,avr_vertical_notes,cant_eventos_por_pedal,cant_pedales_seg,duracion_seg,tracks_used,info_tracks,Clean Electric Guitar,Marimba,Electric Piano,HiHat,Synth,Fingered Bass,Effects,Side Stick,Snare,Tambourine,Cabasa,Maracas,Rock Organ,Drum,Cencerro,Timbale,Shaker,Open HiHat,Tom,Cynbal,crash,Block,ride,Vibra Slap,note_num_mean,note_num_std,note_num_min,note_num_25%,note_num_50%,note_num_75%,note_num_max,Octave_mean,Octave_std,Octave_min,Octave_25%,Octave_50%,Octave_75%,Octave_max,duration_mean,duration_std,duration_min,duration_25%,duration_50%,duration_75%,duration_max,mf,p,m,f,ff,pp,xs,xxs,xl,s,l,Genero,Grupo,tema,Piano,String ensamble,Hammond Organ,Vocals,Hand clap,Steel Guitar,Picked Bass,Brass Section,Sax,Lead,Church Organ 1,Conga,Clavinet,Orchestra Hit,Triangle,Trombone,Overdriven Guitar,Surdo,Bongo,Timpani,Agogo,Reverse Cymbal,Acoustic Bass,Synth Drum,Synph Brass,Distortion Guitar,Celesta,Clarinet,Shakuhachi,Nylon,Harpsicord,Jazz Guitar,Fretless Bass,Harp,Guiro,Ocarina,Piccolo,Flute,Slap,Muted Electric Guitar,Recorder,Reed Organ,Tuba,Steel Drums,Glockenspiel,Taiko Drum,Vibraphone,Strings,Whistle,Pan Flute,High Q,Percussive Organ,Harmonica,Jingle bell,Beltree,Castanets,French Accordion,Trumpet,Honky Piano,English Horn,Oboe,Muted Trumpet,Guitar Harmonics,Melodic Tom 1,Tubular Bells,Metronome,Stick,Bandoneon,Banjo,French Horn,Xylophone,Music Box,Guitar noise,Kalimba,Scratch,Claves,Sitar,Shanai,Fiddle,Bassoon,Tinkle Bell,Bagpipe,Cuica,Dulcimer/Santur,Woodblock,Square,Koto,Blown Bottle,Shamisen
0,A#,m,60.63999999999999,24.53,30.519999999999996,11.39,2.65,10.01,7.27,9.12,14.8,5.4,0.2687509995202303,54.73221845893311,0.6974608482844711,307.87000195843626,11,0 Melody1 Background Vocals2 bass    3 guitar 14 guitar 25 e piano 6 marimba 7 organ   8 fantasy 9 Snare Drum10 Drums11,20.190339950168923,9.546236987378775,5.141780588982852,2.7154318208399646,2.0690551075060495,1.5396108649260085,1.3414752894819442,0.948452262781423,0.9387078902186001,0.9354597660309926,0.9192191450929544,0.8315197920275489,0.7925423017762576,0.7275798180241053,0.646376713333915,0.6073992230826236,0.48072237976592674,0.0779549805025827,0.0487218628141142,0.04222561443889897,0.03897749025129135,0.029233117688468518,0.003248124187607613,0.003248124187607613,63.54925635694867,8.742347578897414,28.0,60.0,65.0,70.0,91.0,4.849432272509196,0.7691305824043596,2.0,5.0,5.0,5.0,7.0,40.11258595873981,26.37918599456991,8.0,24.0,30.0,45.0,103.0,0.3140892371661602,0.2565968335199104,0.035982728290420596,0.11642411642411643,0.04829681752758676,0.03126499280345434,0.49504237965776426,0.19662561970254278,0.10554933631856708,0.10011194626579242,0.06668798976491284,ClassicRock,10cc,Dreadlock_Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,D#,M,92.59000000000002,44.190000000000005,42.68,18.37,17.78,15.31,13.8,10.51,10.21,6.61,0.9419743782969103,4.498150431565968,5.29233814214293,306.48079477084076,1,I'm Not in Love0,,,,,,,,,,,,,,1.6607892196983671,,,,,,,,,,,55.66917859834213,9.626726449390503,27.0,52.25,56.0,62.0,100.0,4.185882943983923,0.9345423108938794,2.0,4.0,4.0,5.0,8.0,30.844775182115026,36.52810036496249,2.0,6.0,16.0,40.0,135.89999999999964,0.3305702084903291,0.023863350916855063,0.03830695805074102,0.35179603114795277,0.10838985179603115,0.00552624968600854,0.1440592815875408,0.6490831449384576,0.07447877417734237,0.0699572971615172,0.024114544084400905,ClassicRock,10cc,Im_Not_In_Love,25.978789326598033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,C,m,37.09,10.89,16.36,10.45,2.12,4.15,3.13,1.76,10.5,4.98,0.6956329951477724,9.452554744525548,1.104921695689468,194.84250795833688,7,0 1 thingswedo2 piano    3 organ    4 choir    5 strat gui6 strings  7 drums    8,1.1393817618456759,,,0.29767631615787926,,1.7501314449971868,,,1.0367347562739935,0.11291170612885076,,,,1.0777935585026663,,,,,0.16936755919327615,,0.23095576253628566,,1.1496464624028442,,54.31054256726952,11.678643879923294,30.0,45.0,56.0,62.0,79.0,4.064843405381562,1.0477286026473385,2.0,3.0,4.0,5.0,6.0,271.7963828848693,227.90048254178691,48.0,96.0,208.0,328.0,875.5999999999876,0.19673577415086016,0.014556682840758712,0.035288928098809,0.3321570357300397,0.3970004411116012,0.007940008822232024,0.27393030436700483,0.47198941332157035,0.0599911777679753,0.08601676224084694,0.07278341420379356,ClassicRock,10cc,The_Things_We_Do_for_Love,6.913275825252817,0.8776318976378855,0.6312790842658474,0.3233380675507999,0.1591028586361079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,A,M,99.91,60.74,37.5,28.1,20.01,18.04,14.6,10.79,4.86,3.51,0.7370323513464666,31.978287092882994,0.9368417203675411,160.88872800000783,11,0 Organ1 Bass2 Strings3 Melody4 6 String5 12 String6 Chips7 Brass8 Syn Vox9 Kick10 Solo Organ11,,,,3.5241747948928555,,,,,1.149863028316011,,,,11.772111219624458,1.1125701733435998,,,,0.02486190331494078,0.16160237154711507,,0.14917141988964466,,,,64.47478763780951,12.180595535762368,28.0,61.0,68.0,73.0,90.0,4.845834086390746,1.088085118701992,2.0,5.0,5.0,6.0,7.0,93.86047352250135,85.58744760087696,25.0,30.0,47.0,153.0,320.0,0.028917404662931502,0.003976143141153081,0.11006687149828302,0.09235496114223748,0.8633652629676487,0.0009036688957166094,0.14747876378095065,0.5792517621543466,0.07392011566961865,0.06867883607446232,0.020603650822338695,ClassicRock,1910FruitgumCompany,Simon_Says,6.99862578315583,0.9633987534539552,0.4848071146413452,2.312157008289492,0.9944761325976311,4.667822347380131,3.1015224385388622,2.424035573206726,1.6657475221010323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,C,m,87.45000000000002,47.870000000000005,54.43000000000001,13.35,17.28,6.49,8.95,34.59,,6.79,0.7250955039670879,83.58202179176754,0.342693086395171,438.2399999999955,11,0 Picked Bass1 Fingered Bass2 Saw Wave3 Church Organ4 Orch. Hit5 Strings6 Clav7 Gun Shot8 Power Set9 Power Set10 Power Set11 808 Set12,,,,1.9532676159182383,,3.8380795910916787,0.006845564074479807,,0.5522088353413711,,,,,1.848302300109548,,,,1.935012778386292,,0.004563709382986538,,,,,58.38561563326476,17.524459230887057,21.0,40.0,64.0,71.0,93.0,4.3802527181898325,1.424148397376847,1.0,3.0,5.0,5.0,7.0,46.36115192477226,20.13994200009972,2.0,29.0,50.0,59.0,85.0,0.42903320599471056,0.06633852483103145,0.4176461945342345,0.12224507787246547,0.09374081692624155,0.014399059653247136,0.19012635909491626,0.06200411401704378,0.06090214516602997,0.018072289156626505,0.25124889803114897,ClassicRock,2Unlimited,Get_Ready_For_This,,0.958378970427173,,,,1.8437385907265613,3.8380795910916787,,,9.113727637824116,7.028112449799269,3.689759036144616,2.7199707922599767,1.713672873311445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,C,M,17.39,7.51,7.51,,,7.51,0.27,,,9.61,0.6805491990846682,15.651022110972049,0.5730854409395982,220.13802083333476,19,untitled0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21,,,,9.993730259188654,4.088344196940813,,,,0.3179823264287299,2.0759703311132793,,,,2.039629493807139,1.5263151668579036,,,,,,,,3.443294334756818,,45.46681922196797,6.765561508443979,37.0,44.0,44.0,47.0,80.0,3.2306636155606405,0.5676511343496962,3.0,3.0,3.0,3.0,6.0,73.59633867276888,20.279276881526844,40.0,62.0,80.0,80.0,110.0,0.016475972540045767,0.0,0.48695652173913045,0.3153318077803204,0.6173913043478261,0.05080091533180778,0.21418764302059495,0.16247139588100687,0.13638443935926772,0.0,0.0,ClassicRock,2Unlimited,No_Limits,0.00454260466326757,0.29072669844912447,,0.29072669844912447,1.4718039108986927,,,,,3.938438243052983,,,,,2.230418889664377,1.3128127476843279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,C,m,61.660000000000004,15.049999999999999,15.27,0.98,0.07,14.29,1.22,,44.34,0.76,0.8380229997553218,10.017560073937153,1.637999556440238,220.18727981250555,9,0 ALTO SAX1 FINGERDBA2 SYN BASS 3 A.PIANO 14 CHOIR AAH5 SLOWSTRIN6 OVERDRIVE7 ORCH HIT8 TIMPANI9 DRUMS10 REVERSCYM11,,,,1.657679772922422,4.664211306277609,4.091971165487951,,,1.2171456962827647,6.971338223112103,,6.1538523076983065,,1.657679772922422,0.054499061027586476,,1.017315805848281,1.6349718308275942,,,0.07266541470344863,,,,49.71030095424517,13.58605029744608,27.0,41.0,51.0,63.0,77.0,3.7616833863469537,1.102202620358211,2.0,3.0,4.0,5.0,6.0,98.941032542207,45.06144385373951,48.0,60.0,92.0,128.0,228.0,0.2779544898458527,0.3009542451676046,0.05798874480058723,0.08514803034010276,0.19329581600195742,0.014925373134328358,0.40298507462686567,0.30853927085882066,0.05798874480058723,0.15145583557621728,0.021042329336921947,ClassicRock,2Unlimited,Tribal_Dance,1.0718148668758674,0.32699436616551886,,0.07266541470344863,,,,,5.504405163786235,,,1.843884898100009,,1.4396835288120762,,,0.8719849764413836,0.7629868543862107,0.7448205007103486,0.5041163145051749,0.027249530513793238,0.013624765256896619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,G,m,98.73,45.940000000000005,50.25,5.83,34.21,4.18,8.57,40.24,4.18,1.52,0.9117398648648649,4.621997911590672,2.458528449342119,166.94074519999904,7,0 Track 11 Track 22 Track 33 Track 44 Track 55 Track66 Track 77 Track 88 Track 99 Track 1010 Track 1111 Track 1212 Track 1313 Track 1414 Track 1515 Track 1616 Twilite Zone17 Kauai Style18 199519 K. Nishimura20 kauai@ohana.com21 07/14/9522 ver. 1.023,,,,,0.14376358492498292,,0.07188179246249146,,,,,,,1.4496161479935779,,,,2.881261847871533,,0.25158627361872016,,,,,72.58150337837837,11.915068224808763,31.0,67.0,74.0,79.0,87.0,5.661739864864865,1.0953783217826294,2.0,5.0,6.0,6.0,7.0,34.111486486486484,25.893077141183444,12.0,15.0,30.0,32.0,120.0,0.06967905405405406,0.041807432432432436,0.007601351351351352,0.22888513513513514,0.5059121621621622,0.02195945945945946,0.11233108108108109,0.7225506756756757,0.06123310810810811,0.09628378378378379,0.0,ClassicRock,2Unlimited,Twilight_Zone,,,,,,,,,,6.2117848986336375,,,,6.187824301146141,,,,,,,,,1.3118427124404692,0.2575764229905944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,E,M,98.61,54.45,48.559999999999995,22.52,18.99,16.16,13.1,12.94,10.11,4.79,0.9644094488188977,3.719446682782702,3.9619554373129646,187.93749999999866,5,"0 Vocal1 ElecGtr2 Bass3 SteelGtr4 Rhythm&SE5    ""Caught Up In You""6       By .38 Special7 Seq. By Norma Williams8",,,,3.714000665114759,,,,,1.2025274359827156,,,,,1.0428999002327977,,,,,,,0.18091120718324039,,,,56.52535433070866,8.420496436196807,30.0,49.0,57.0,64.0,73.0,4.1839370078740155,0.7931219742889836,2.0,4.0,4.0,5.0,6.0,118.22204724409448,100.9089729003943,50.0,80.0,80.0,80.0,440.0,0.0,0.0,0.016377952755905513,0.0,0.0,0.0,0.016377952755905513,0.8305511811023623,0.06362204724409448,0.046614173228346455,0.026456692913385826,ClassicRock,38Special,Caught_Up_In_You,,,,,,6.3265713335550835,,,,8.60392417692058,,,,,,,,,,,,,,,1.9634186897239914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,E,M,97.36000000000001,53.81,36.83,24.07,19.1,14.47,12.34,10.64,9.65,7.09,0.915839243498818,10.923212192262604,0.9513949837744686,179.31563957083182,5,Track 00 Guitar 11 Vocal2 Bass3 Lead Guitar4 Harmonics5 Drums6,,,,5.4206091689846625,,1.6507204876743418,1.3941896010763022,,1.2101565737342304,,,,,0.9592024455404959,,,,0.011153516808610417,0.26768440340665,0.0055767584043052085,0.5855596324520469,,,,55.00614657210402,9.809995291197747,30.0,51.0,56.0,63.0,83.0,4.029314420803782,0.8557730121921836,2.0,4.0,4.0,5.0,6.0,271.26241134751774,197.34679261922795,120.0,120.0,240.0,240.0,720.0,0.03829787234042553,0.0,0.025059101654846337,0.0,0.022222222222222223,0.9394799054373523,0.41749408983451536,0.38486997635933806,0.1408983451536643,0.03167848699763593,0.0,ClassicRock,38Special,Fantasy_Girl,,,,,,,,,,,,,,,,,4.433522931422641,,,,,,,,,4.29410397131501,0.022307033617220834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
